업체명,노선번호,노선유형,정류소명,정류소ID,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
용남고속,92,일반형시내버스,정자사거리,200000038,1222,1149,73,638,638,0,127.0028919,37.29100672
용남고속,92,일반형시내버스,정자2동주민센터.수성고등학교,200000039,1489,1437,52,486,486,0,127.0005372,37.29400873
용남고속,92,일반형시내버스,도체육회관.대림e_편한세상,200000040,618,568,50,193,193,0,126.9988903,37.29610431
용남고속,92,일반형시내버스,이목동.장안STX칸,200000041,58,49,9,196,196,0,126.9839895,37.31558514
용남고속,92,일반형시내버스,이목동.장안힐스테이트,200000042,10,10,0,145,145,0,126.9853388,37.31403084
용남고속,92,일반형시내버스,도체육회관.대림e_편한세상,200000043,118,111,7,382,382,0,126.9989277,37.29640117
용남고속,92,일반형시내버스,정자2동주민센터,200000044,463,445,18,966,966,0,127.00036570000002,37.29457083
용남고속,92,일반형시내버스,정자사거리.수성고등학교,200000045,599,570,29,1324,1324,0,127.0022851,37.2921204
용남고속,92,일반형시내버스,조원1동,200000049,1526,1497,29,1282,1282,0,127.0143029,37.30229112
용남고속,99_2,일반형시내버스,조원시장입구,200000051,1741,1708,33,2315,2315,0,127.0179856,37.29926114
용남고속,99_2,일반형시내버스,벽산아파트,200000052,213,194,19,343,343,0,127.02052,37.2970896
용남고속,99_2,일반형시내버스,조원시장입구,200000056,2527,2461,66,1494,1494,0,127.0175138,37.29951247
용남고속,99_2,일반형시내버스,조원동,200000058,2150,2106,44,1682,1682,0,127.0141788,37.30212895
용남고속,99_2,일반형시내버스,율전성당.성균관대역,200000069,1411,844,567,3630,3630,0,126.9726334,37.30136167
용남고속,99_2,일반형시내버스,체육고교.신안아파트,200000070,519,481,38,889,889,0,126.9755925,37.30299178
용남고속,99_2,일반형시내버스,신명아파트,200000071,997,949,48,764,764,0,126.980489,37.30230913
용남고속,99_2,일반형시내버스,한일타운.경기일보.홈플러스,200000080,3085,2714,371,4478,4478,0,127.0066358,37.3034669
용남고속,92,일반형시내버스,화서역.화서주공3단지,200000088,737,510,227,2003,2003,0,126.99145190000002,37.28672389
용남고속,92_1,일반형시내버스,삼환나우빌아파트,200000089,1002,963,39,519,519,0,126.99027959999998,37.29311879
용남고속,99_2,일반형시내버스,풍림아파트,200000090,1027,740,287,1552,1552,0,126.9920636,37.29886868
용남고속,99_2,일반형시내버스,풍림아파트,200000091,2049,1776,273,930,930,0,126.9920721,37.29861523
용남고속,92_1,일반형시내버스,삼환나우빌아파트,200000092,316,292,24,1122,1122,0,126.990824,37.29307323
용남고속,92,일반형시내버스,동원고교.해우재입구,200000094,27,21,6,169,169,0,126.9839585,37.31695925
용남고속,92,일반형시내버스,정자종합시장,200000095,769,689,80,2545,2545,0,127.0010387,37.28976749
용남고속,92_1,일반형시내버스,정자3동주민센터.정자동중심상가,200000096,4454,4071,383,2495,2495,0,126.9932534,37.2949367
용남고속,92_1,일반형시내버스,대평중학교,200000097,1127,948,179,1331,1331,0,126.9904918,37.29798061
용남고속,92_1,일반형시내버스,동남보건대학,200000098,1544,1442,102,939,939,0,126.9874808,37.29659578
용남고속,92_1,일반형시내버스,우방아파트.한화아파트.SK아파트,200000099,549,518,31,2688,2688,0,126.9845837,37.29569506
용남고속,92,일반형시내버스,장안등기소.성우아파트,200000100,4058,3560,498,2103,2103,0,126.9833655,37.29643373
용남고속,92_1,일반형시내버스,천천중학교,200000101,1678,1622,56,1199,1199,0,126.9821269,37.29915071
용남고속,92_1,일반형시내버스,샘내현대아파트,200000102,1690,1649,41,1006,1006,0,126.9800237,37.30251722
용남고속,92_1,일반형시내버스,신안아파트,200000103,1830,1607,223,724,724,0,126.9757053,37.30275753
용남고속,92_1,일반형시내버스,천일초교,200000105,282,272,10,1407,1407,0,126.9779733,37.30007294
용남고속,92_1,일반형시내버스,천천초교.천천고교,200000106,1169,1105,64,1664,1664,0,126.9824653,37.2990374
용남고속,92_1,일반형시내버스,장안등기소.성우아파트,200000107,2002,1689,313,3035,3035,0,126.9836813,37.2964518
용남고속,92_1,일반형시내버스,우방아파트.한화아파트.SK아파트,200000108,1166,1105,61,414,414,0,126.9847304,37.29548785
용남고속,92_1,일반형시내버스,동남보건대학,200000109,1213,1102,111,1339,1339,0,126.9872903,37.29679468
용남고속,92_1,일반형시내버스,대평중학교,200000110,470,389,81,1188,1188,0,126.9901225,37.29816563
용남고속,92_1,일반형시내버스,정자3동주민센터.정자동중심상가,200000111,3329,2956,373,5105,5105,0,126.9934115,37.29540115
용남고속,92,일반형시내버스,두견마을,200000114,1610,1505,105,805,805,0,126.99834640000002,37.28924083
용남고속,92,일반형시내버스,정자종합시장,200000115,2640,2364,276,424,424,0,127.0013544,37.29012791
용남고속,92,일반형시내버스,동신아파트,200000116,1415,1272,143,100,100,0,126.9941568,37.30229582
용남고속,92,일반형시내버스,북수원시장.효자문사거리,200000117,729,656,73,99,99,0,126.9909379,37.30632476
용남고속,92,일반형시내버스,파장초등학교.SKC,200000118,4,3,1,258,258,0,126.9898138,37.30795648
용남고속,92,일반형시내버스,동남아파트.북수원시장,200000119,41,29,12,752,752,0,126.9917157,37.30574487
용남고속,92,일반형시내버스,동신아파트,200000120,283,266,17,1125,1125,0,126.9941744,37.3026758
용남고속,92,일반형시내버스,만석공원.정자초교.벽산아파트,200000123,650,378,272,247,247,0,126.9963585,37.29940106
용남고속,92,일반형시내버스,SK스카이뷰.SK아트리움,200000127,1383,858,525,18,18,0,126.9883081,37.30937572
용남고속,92,일반형시내버스,이목동입구,200000128,119,112,7,9,9,0,126.9862637,37.31391836
용남고속,92,일반형시내버스,SK스카이뷰.SK아트리움,200000130,35,31,4,832,832,0,126.9887428,37.30920861
용남고속,99_2,일반형시내버스,정자초교사거리,200000134,1062,845,217,623,623,0,126.996736,37.30053486
용남고속,92,일반형시내버스,만석공원.정자초교.벽산아파트,200000135,170,65,105,1247,1247,0,126.9967305,37.29951846
용남고속,92,일반형시내버스,지지대교차로,200000148,79,71,8,71,71,0,126.9880308,37.31818518
용남고속,99_2,일반형시내버스,연세수요양병원.송죽희성연인아파트,200000153,1059,901,158,719,719,0,127.001016,37.30440923
용남고속,92,일반형시내버스,만석공원테니스장,200000154,356,316,40,306,306,0,127.0000686,37.30303065
용남고속,99_2,일반형시내버스,만석공원.만석거삼거리,200000155,181,168,13,543,543,0,126.9986474,37.30239990000001
용남고속,99_2,일반형시내버스,온누리교회,200000156,882,749,133,1151,1151,0,127.0007566,37.30445428
용남고속,99_2,일반형시내버스,삼성아파트,200000158,131,129,2,227,227,0,126.9699452,37.29419636
용남고속,99_2,일반형시내버스,성균관대학교,200000159,856,780,76,421,421,0,126.9704854,37.29707979
용남고속,99_2,일반형시내버스,성균관대역,200000160,3004,1564,1440,1715,1715,0,126.9713419,37.2985577
용남고속,99_2,일반형시내버스,성균관대역,200000161,396,250,146,2358,2358,0,126.9728866,37.29992765
용남고속,99_2,일반형시내버스,성균관대학교,200000162,1734,1596,138,1462,1462,0,126.9710126,37.29726987
용남고속,99_2,일반형시내버스,삼성아파트,200000163,572,557,15,993,993,0,126.9701602,37.29256555
용남고속,99_2,일반형시내버스,연무시장입구.연무동문화센터,200000167,2646,2583,63,1328,1328,0,127.0261008,37.29321702
용남고속,99_2,일반형시내버스,연무시장입구.연무동문화센터,200000170,1956,1680,276,2241,2241,0,127.0260838,37.29344542
용남고속,99_2,일반형시내버스,경기일보.한일타운,200000194,4024,2246,1778,2310,2310,0,127.0049168,37.30405845
용남고속,99_2,일반형시내버스,장안지하차도.수원KT위즈파크,200000200,3124,1902,1222,1416,1416,0,127.0081737,37.30205268
용남고속,92,일반형시내버스,화서역.화서주공3단지,200000204,2463,743,1720,972,972,0,126.9920601,37.28663549
용남고속,8800,직행좌석형시내버스,연무동,200000247,158,150,8,5069,5069,0,127.0319494,37.29265914
용남고속,99_2,일반형시내버스,정자초교사거리,200000265,457,383,74,1308,1308,0,126.9970411,37.30116518
용남고속,99_2,일반형시내버스,조원시장,200000278,1940,1869,71,2123,2123,0,127.0160506,37.30085638
용남고속,92,일반형시내버스,조원시장,200000279,1924,1842,82,1521,1521,0,127.0161232,37.30064551
용남고속,92_1,일반형시내버스,성균관대역.고용노동부경기지청.율전성당,200000285,7338,2559,4779,4274,4274,0,126.9731982,37.30152322
용남고속,99_2,일반형시내버스,삼성1차아파트,200000305,231,213,18,634,634,0,126.9698597,37.29309988
용남고속,99_2,일반형시내버스,장안구청,200000310,2619,2488,131,1201,1201,0,127.0112642,37.30342194
용남고속,99_2,일반형시내버스,장안구청,200000311,1521,1347,174,4258,4258,0,127.0111737,37.3037098
용남고속,99_2,일반형시내버스,경기남부보훈지청.경기도교육청,200000312,1305,1052,253,977,977,0,127.0220038,37.29623955
용남고속,92,일반형시내버스,수원북중후문.경기도교육청,200000313,1671,1474,197,2266,2266,0,127.02187279999998,37.2960828
제부여객,51,일반형시내버스,가게앞.평동,201000015,23,23,0,167,167,0,126.9955384,37.26069122
제부여객,1004,좌석형시내버스,오목천동태산아파트.서희스타힐스,201000016,1290,708,582,157,157,0,126.9628762,37.24582515
제부여객,1004,좌석형시내버스,수원여자대학입구,201000017,1,0,1,18,18,0,126.96563700000002,37.24671064
제부여객,1004,좌석형시내버스,고색초교.태산아파트,201000018,826,480,346,460,460,0,126.9796907,37.25064258
제부여객,1004,좌석형시내버스,신병원.대원.거산아파트,201000019,359,263,96,681,681,0,126.9838196,37.25183995
제부여객,1004,좌석형시내버스,공구유통타운.중앙자동차매매단지,201000020,196,90,106,47,47,0,126.9970998,37.25836862
