업체명,노선번호,노선유형,정류소명,정류소ID,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
수원여객,13,일반형시내버스,하광교느티나무,200000001,28,28,0,273,273,0,127.0169284,37.31762986
수원여객,13,일반형시내버스,하광교,200000002,26,26,0,1260,1260,0,127.0192079,37.31595808
수원여객,13,일반형시내버스,비석거리입구,200000003,66,62,4,555,555,0,127.0210539,37.31325683
수원여객,13,일반형시내버스,문암골,200000004,138,127,11,1069,1069,0,127.0277477,37.30910832
수원여객,13,일반형시내버스,광교산입구.경기대수원캠퍼스,200000005,472,370,102,6161,6161,0,127.0315459,37.3014618
수원여객,13,일반형시내버스,광교공원.경기대수원캠퍼스입구,200000006,6581,6278,303,1581,1581,0,127.0294636,37.30001394
수원여객,13,일반형시내버스,광교산입구.경기대수원캠퍼스,200000007,3830,3808,22,2854,2854,0,127.0312875,37.30145427
수원여객,13,일반형시내버스,문암골,200000008,2154,2141,13,819,819,0,127.0276999,37.30894625
수원여객,13,일반형시내버스,비석거리입구,200000009,824,820,4,188,188,0,127.0209256,37.31324094
수원여객,13,일반형시내버스,하광교,200000010,1693,1693,0,65,65,0,127.0191679,37.31553463
수원여객,13,일반형시내버스,하광교느티나무,200000011,486,486,0,24,24,0,127.016692,37.31779217
수원여객,13,일반형시내버스,용머리앞,200000012,175,175,0,4,4,0,127.0154809,37.32136254
수원여객,13,일반형시내버스,용머리다리,200000013,512,512,0,10,10,0,127.0154687,37.32345431
수원여객,13,일반형시내버스,상광교신다리.광교로컬푸드직매장,200000014,1083,1083,0,21,21,0,127.014797,37.3273482
수원여객,13,일반형시내버스,상광교마을회관,200000015,1177,1177,0,17,17,0,127.0147373,37.32953444
수원여객,13,일반형시내버스,새마을주택,200000016,1025,1025,0,9,9,0,127.0153358,37.33221145
수원여객,13,일반형시내버스,광교산,200000017,1557,1557,0,17,17,0,127.0171006,37.33428856
수원여객,112,일반형시내버스,중부경찰서,200000020,842,782,60,646,646,0,126.9969671,37.29712882
수원여객,112,일반형시내버스,풍림아파트입구,200000021,2949,2778,171,2494,2494,0,126.9949992,37.29788345
수원여객,42,일반형시내버스,정자동성당,200000022,7,6,1,667,667,0,126.9851527,37.31003854
수원여객,112,일반형시내버스,율전동,200000026,4228,4150,78,102,102,0,126.9698064,37.30243173
수원여객,112,일반형시내버스,율전초교,200000027,1468,1122,346,140,140,0,126.969197,37.29998545
수원여객,112,일반형시내버스,신일아파트,200000028,1504,1489,15,83,83,0,126.9672574,37.30018985
수원여객,112,일반형시내버스,율전동,200000031,104,93,11,2779,2779,0,126.9696632,37.30233005
수원여객,112,일반형시내버스,풍림아파트입구,200000036,2694,2482,212,3845,3845,0,126.9952572,37.29792856
수원여객,16,일반형시내버스,KT수원지사.국민연금북수원지사,200000037,5725,3947,1778,10270,10270,0,127.0115668,37.29269555
수원여객,112,일반형시내버스,정자2동주민센터.수성고등학교,200000039,6279,6127,152,3258,3258,0,127.0005372,37.29400873
수원여객,112,일반형시내버스,도체육회관.대림e_편한세상,200000040,2504,2415,89,1495,1495,0,126.9988903,37.29610431
수원여객,42,일반형시내버스,이목동.장안STX칸,200000041,297,133,164,1330,1330,0,126.9839895,37.31558514
수원여객,42,일반형시내버스,이목동.장안힐스테이트,200000042,235,184,51,1493,1493,0,126.9853388,37.31403084
수원여객,112,일반형시내버스,도체육회관.대림e_편한세상,200000043,847,800,47,2333,2333,0,126.9989277,37.29640117
수원여객,112,일반형시내버스,정자2동주민센터,200000044,2103,2049,54,4009,4009,0,127.00036570000002,37.29457083
수원여객,112,일반형시내버스,정자사거리.수성고등학교,200000045,2152,2045,107,4948,4948,0,127.0022851,37.2921204
수원여객,112,일반형시내버스,수성중사거리,200000063,2033,1900,133,4018,4018,0,127.0097789,37.29272259
수원여객,112,일반형시내버스,상공회의소,200000064,9787,8958,829,6831,6831,0,127.0049632,37.29108295
수원여객,112,일반형시내버스,상공회의소.수성고교,200000065,5673,5232,441,6845,6845,0,127.0056399,37.2915875
수원여객,112,일반형시내버스,수성중사거리,200000066,5950,4346,1604,6343,6343,0,127.0097226,37.29294785
수원여객,16,일반형시내버스,연무동차고지,200000067,4499,4332,167,191,191,0,127.0300242,37.29824017
수원여객,61,일반형시내버스,율전성당.성균관대역,200000069,11673,4522,7151,16150,16150,0,126.9726334,37.30136167
수원여객,61,일반형시내버스,체육고교.신안아파트,200000070,2183,1995,188,4168,4168,0,126.9755925,37.30299178
수원여객,42,일반형시내버스,신명아파트,200000071,5793,5323,470,7928,7928,0,126.980489,37.30230913
수원여객,25,일반형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,200000073,1356,893,463,35,35,0,126.9890727,37.31248317
수원여객,25,일반형시내버스,지지대교차로,200000074,47,43,4,303,303,0,126.9883353,37.31877088
수원여객,25,일반형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,200000075,159,67,92,1805,1805,0,126.9903458,37.31159184
수원여객,25,일반형시내버스,한국가스안전공사.택시공제조합,200000077,157,124,33,3779,3779,0,126.997464,37.30815934
수원여객,25,일반형시내버스,수일중학교,200000078,376,283,93,6081,6081,0,126.999878,37.30709485
수원여객,25,일반형시내버스,수일여중.대우건설기술연구원.경기도융합과학교육원,200000079,192,147,45,2089,2089,0,127.002598,37.30585347
수원여객,25,일반형시내버스,한일타운.경기일보.홈플러스,200000080,16110,13819,2291,16175,16175,0,127.0066358,37.3034669
수원여객,2_2,일반형시내버스,수원시평생학습관.연무사회복지관.창룡도서관,200000084,209,186,23,117,117,0,127.0269118,37.29158925
수원여객,16,일반형시내버스,경기대수원캠퍼스입구,200000085,2975,2850,125,9,9,0,127.0298221,37.29959435
수원여객,16,일반형시내버스,연무동종점,200000086,10,10,0,2616,2616,0,127.02991570000002,37.29797547
수원여객,16,일반형시내버스,광교공원.경기대수원캠퍼스입구,200000087,64,60,4,4656,4656,0,127.0295586,37.29978041
수원여객,2_2,일반형시내버스,화서역.화서주공3단지,200000088,732,462,270,6076,6076,0,126.99145190000002,37.28672389
수원여객,30,일반형시내버스,삼환나우빌아파트,200000089,5264,5179,85,680,680,0,126.99027959999998,37.29311879
수원여객,112,일반형시내버스,풍림아파트,200000090,16435,13415,3020,8780,8780,0,126.9920636,37.29886868
수원여객,112,일반형시내버스,풍림아파트,200000091,10535,8814,1721,12539,12539,0,126.9920721,37.29861523
수원여객,30,일반형시내버스,삼환나우빌아파트,200000092,538,480,58,4167,4167,0,126.990824,37.29307323
수원여객,112,일반형시내버스,KT수원지사.국민연금북수원지사,200000093,34583,18350,16233,26374,26374,0,127.011444,37.29239115
수원여객,42,일반형시내버스,동원고교.해우재입구,200000094,512,346,166,1126,1126,0,126.9839585,37.31695925
수원여객,16,일반형시내버스,정자종합시장,200000095,5396,4673,723,3934,3934,0,127.0010387,37.28976749
수원여객,30,일반형시내버스,정자3동주민센터.정자동중심상가,200000096,13635,12470,1165,5083,5083,0,126.9932534,37.2949367
수원여객,112,일반형시내버스,대평중학교,200000097,2452,2105,347,4675,4675,0,126.9904918,37.29798061
수원여객,112,일반형시내버스,동남보건대학,200000098,5240,4900,340,3906,3906,0,126.9874808,37.29659578
수원여객,112,일반형시내버스,우방아파트.한화아파트.SK아파트,200000099,2469,2265,204,8912,8912,0,126.9845837,37.29569506
수원여객,112,일반형시내버스,장안등기소.성우아파트,200000100,19243,17146,2097,12946,12946,0,126.9833655,37.29643373
수원여객,112,일반형시내버스,천천중학교,200000101,9770,9330,440,5120,5120,0,126.9821269,37.29915071
수원여객,112,일반형시내버스,샘내현대아파트,200000102,10496,10182,314,3855,3855,0,126.9800237,37.30251722
수원여객,112,일반형시내버스,신안아파트,200000103,7316,6413,903,2588,2588,0,126.9757053,37.30275753
수원여객,112,일반형시내버스,천일초교,200000105,871,838,33,3243,3243,0,126.9779733,37.30007294
수원여객,112,일반형시내버스,천천초교.천천고교,200000106,5783,5371,412,8422,8422,0,126.9824653,37.2990374
수원여객,112,일반형시내버스,장안등기소.성우아파트,200000107,14341,12334,2007,18330,18330,0,126.9836813,37.2964518
수원여객,112,일반형시내버스,우방아파트.한화아파트.SK아파트,200000108,5256,4951,305,1615,1615,0,126.9847304,37.29548785
수원여객,112,일반형시내버스,동남보건대학,200000109,4744,4379,365,4337,4337,0,126.9872903,37.29679468
수원여객,112,일반형시내버스,대평중학교,200000110,2198,1870,328,2221,2221,0,126.9901225,37.29816563
수원여객,30,일반형시내버스,정자3동주민센터.정자동중심상가,200000111,6225,5171,1054,13588,13588,0,126.9934115,37.29540115
수원여객,61,일반형시내버스,장안고등학교,200000112,593,580,13,1279,1279,0,126.9949955,37.29274406
수원여객,61,일반형시내버스,경기도립수원의료원.두견마을,200000113,750,730,20,816,816,0,126.9965383,37.29016953
수원여객,16,일반형시내버스,두견마을,200000114,2363,2221,142,1690,1690,0,126.99834640000002,37.28924083
수원여객,16,일반형시내버스,정자종합시장,200000115,4774,4278,496,4552,4552,0,127.0013544,37.29012791
수원여객,64,일반형시내버스,동신아파트,200000116,676,641,35,284,284,0,126.9941568,37.30229582
수원여객,64,일반형시내버스,북수원시장.효자문사거리,200000117,120,109,11,321,321,0,126.9909379,37.30632476
수원여객,64,일반형시내버스,파장초등학교.SKC,200000118,20,18,2,126,126,0,126.9898138,37.30795648
수원여객,64,일반형시내버스,동남아파트.북수원시장,200000119,82,73,9,212,212,0,126.9917157,37.30574487
수원여객,64,일반형시내버스,동신아파트,200000120,516,492,24,671,671,0,126.9941744,37.3026758
수원여객,5,일반형시내버스,송원중학교.수원서부교회,200000121,4911,4814,97,1391,1391,0,127.0033056,37.29593954
수원여객,5,일반형시내버스,수원미술전시관.만석공원,200000122,2285,2181,104,435,435,0,126.999392,37.29656124
수원여객,5,일반형시내버스,만석공원.정자초교.벽산아파트,200000123,2753,2484,269,532,532,0,126.9963585,37.29940106
수원여객,5,일반형시내버스,경남아너스빌.동신아파트,200000124,3498,3406,92,355,355,0,126.9968351,37.30348779
수원여객,5,일반형시내버스,벽산블루밍아파트,200000125,3747,3588,159,268,268,0,126.9951731,37.3055804
수원여객,5,일반형시내버스,북수원시장입구,200000126,4014,3617,397,163,163,0,126.9915945,37.30669835
수원여객,5,일반형시내버스,SK스카이뷰.SK아트리움,200000127,3222,2933,289,490,490,0,126.9883081,37.30937572
수원여객,42,일반형시내버스,이목동입구,200000128,887,784,103,47,47,0,126.9862637,37.31391836
수원여객,5,일반형시내버스,SK스카이뷰.SK아트리움,200000130,589,409,180,2542,2542,0,126.9887428,37.30920861
수원여객,5,일반형시내버스,북수원시장입구,200000131,479,353,126,3588,3588,0,126.992082,37.30654819
수원여객,5,일반형시내버스,벽산블루밍아파트,200000132,235,209,26,2555,2555,0,126.9950632,37.30571566
수원여객,5,일반형시내버스,경남아너스빌,200000133,345,241,104,3615,3615,0,126.99754409999998,37.30242752
수원여객,30,일반형시내버스,정자초교사거리,200000134,2967,2123,844,5535,5535,0,126.996736,37.30053486
수원여객,5,일반형시내버스,만석공원.정자초교.벽산아파트,200000135,552,352,200,2271,2271,0,126.9967305,37.29951846
수원여객,5,일반형시내버스,만석공원.중부경찰서,200000136,53,47,6,1098,1098,0,126.9988001,37.2974307
수원여객,5,일반형시내버스,송원중학교.수원서부교회,200000137,839,766,73,4114,4114,0,127.0039146,37.2960927
수원여객,5,일반형시내버스,로얄팰리스,200000138,779,585,194,2636,2636,0,127.00760420000002,37.29569352
수원여객,112,일반형시내버스,장안문,200000139,24065,9718,14347,26858,26858,0,127.0133536,37.29030752
수원여객,13,일반형시내버스,보훈원복지타운.보훈요양원,200000140,6606,6413,193,393,393,0,127.0268055,37.2984605
수원여객,13,일반형시내버스,보훈교육원,200000141,549,456,93,5909,5909,0,127.025788,37.2964386
수원여객,13,일반형시내버스,경기남부보훈지청.경기도교육청,200000142,1179,427,752,6322,6322,0,127.0220384,37.29457722
수원여객,13,일반형시내버스,수원농생고.수원북중학교,200000143,892,331,561,6324,6324,0,127.0208203,37.29354023
수원여객,13,일반형시내버스,교육청사거리,200000144,1126,788,338,6472,6472,0,127.01829340000002,37.29172154
수원여객,25,일반형시내버스,경기도보건환경연구원.북수원시장.광교산입구,200000145,9875,8880,995,301,301,0,126.9943398,37.30918503
수원여객,25,일반형시내버스,경기도보건환경연구원.삼익아파트.광교산입구,200000146,258,130,128,8305,8305,0,126.9944795,37.30947113
수원여객,61,일반형시내버스,장안고등학교,200000147,1531,1504,27,619,619,0,126.9948277,37.29236355
수원여객,42,일반형시내버스,지지대교차로,200000148,131,119,12,72,72,0,126.9880308,37.31818518
수원여객,5,일반형시내버스,로얄팰리스,200000150,2978,2862,116,1225,1225,0,127.0083201,37.29542735
수원여객,64,일반형시내버스,이목동.장안힐스테이트,200000151,252,232,20,172,172,0,126.9854597,37.31347227
수원여객,64,일반형시내버스,이목동.장안STX칸,200000152,361,312,49,318,318,0,126.9838514,37.3154544
수원여객,30,일반형시내버스,연세수요양병원.송죽희성연인아파트,200000153,3139,2689,450,5346,5346,0,127.001016,37.30440923
수원여객,30,일반형시내버스,만석공원테니스장,200000154,972,864,108,2858,2858,0,127.0000686,37.30303065
수원여객,30,일반형시내버스,만석공원.만석거삼거리,200000155,1605,1460,145,1629,1629,0,126.9986474,37.30239990000001
수원여객,30,일반형시내버스,온누리교회,200000156,7096,6067,1029,4134,4134,0,127.0007566,37.30445428
수원여객,61,일반형시내버스,삼성아파트,200000158,451,411,40,942,942,0,126.9699452,37.29419636
수원여객,61,일반형시내버스,성균관대학교,200000159,3152,2829,323,1850,1850,0,126.9704854,37.29707979
수원여객,61,일반형시내버스,성균관대역,200000160,23554,8868,14686,8791,8791,0,126.9713419,37.2985577
수원여객,61,일반형시내버스,성균관대역,200000161,2372,1687,685,21566,21566,0,126.9728866,37.29992765
수원여객,61,일반형시내버스,성균관대학교,200000162,8618,7872,746,7626,7626,0,126.9710126,37.29726987
수원여객,61,일반형시내버스,삼성아파트,200000163,2901,2850,51,3810,3810,0,126.9701602,37.29256555
수원여객,25,일반형시내버스,이목동차고지,200000164,1008,953,55,1043,1043,0,126.9894035,37.32156852
수원여객,25,일반형시내버스,이목동차고지.이목동입구,200000165,1290,1080,210,741,741,0,126.9890801,37.32168639
수원여객,13,일반형시내버스,장안문,200000166,4039,2274,1765,7667,7667,0,127.0158572,37.29016308
수원여객,13,일반형시내버스,경기대수원캠퍼스입구,200000169,1716,771,945,6974,6974,0,127.0300365,37.29976549
수원여객,13,일반형시내버스,광교산종점,200000171,3153,3151,2,4244,4244,0,127.0172372,37.33426984
수원여객,13,일반형시내버스,새마을주택,200000172,8,8,0,902,902,0,127.0154881,37.33232375
수원여객,13,일반형시내버스,상광교마을회관,200000173,215,215,0,485,485,0,127.0148726,37.32963461
수원여객,13,일반형시내버스,상광교신다리.광교로컬푸드직매장,200000174,72,72,0,703,703,0,127.0149466,37.32768841
수원여객,13,일반형시내버스,용머리다리,200000175,10,10,0,882,882,0,127.0155057,37.32376644
수원여객,13,일반형시내버스,용머리앞,200000176,11,11,0,155,155,0,127.015601,37.32121183
수원여객,13,일반형시내버스,장안문,200000177,8569,7713,856,9363,9363,0,127.0154387,37.29014117
수원여객,13,일반형시내버스,KB손해보험인재니움,200000178,9354,8956,398,2267,2267,0,127.0179438,37.29176664
수원여객,13,일반형시내버스,수원북중학교.수원농생고,200000179,10144,9416,728,766,766,0,127.0210909,37.29415389
수원여객,13,일반형시내버스,경기남부보훈지청.경기도교육청,200000180,3324,3039,285,887,887,0,127.0237303,37.29539685
수원여객,13,일반형시내버스,보훈교육원,200000181,6740,6520,220,757,757,0,127.0254373,37.29637483
수원여객,13,일반형시내버스,보훈원복지타운.보훈요양원,200000182,139,118,21,4684,4684,0,127.0271408,37.29861021
수원여객,3,일반형시내버스,장안공원,200000183,4425,3240,1185,3688,3688,0,127.0127396,37.28859857
수원여객,25,일반형시내버스,수원종합운동장.로얄팰리스.아너스빌위즈,200000184,7032,6230,802,4939,4939,0,127.0087164,37.29605867
수원여객,25,일반형시내버스,수원KT위즈파크.행정동우회관,200000185,6146,5612,534,2910,2910,0,127.0076593,37.29984085
수원여객,25,일반형시내버스,수원KT위즈파크,200000186,3845,3278,567,13658,13658,0,127.008732,37.30051772
수원여객,25,일반형시내버스,수원종합운동장.수원시체육회관.아너스빌위즈,200000187,4079,3626,453,7942,7942,0,127.0089197,37.29624895
수원여객,3,일반형시내버스,장안공원,200000189,1242,839,403,1505,1505,0,127.0130406,37.28850686
수원여객,3,일반형시내버스,화서문.장안공원,200000190,2481,2076,405,4425,4425,0,127.0090949,37.28617338
수원여객,25,일반형시내버스,경기일보.한일타운,200000194,16312,14231,2081,12315,12315,0,127.0049168,37.30405845
수원여객,25,일반형시내버스,수일여중.한빛현요양병원.경기도융합과학교육원,200000195,7524,6544,980,744,744,0,127.0004706,37.30652068
